"","","",""
"414",191,1,T2O2668@Targetmol-L2300-640cpds-manual.csv-1
"415",192,1,T2A2497@Targetmol-L2300-640cpds-manual.csv-1
"416",193,1,T2998@Targetmol-L2300-640cpds-manual.csv-1
"417",193,2,T2998@Targetmol-L2300-640cpds-manual.csv-2
"418",193,3,T2998@Targetmol-L2300-640cpds-manual.csv-3
"419",193,4,T2998@Targetmol-L2300-640cpds-manual.csv-4
"420",194,1,S3942@Selleck-L2700-219cpds-manual.csv-1
"421",194,2,S3942@Selleck-L2700-219cpds-manual.csv-2
"422",194,3,S3942@Selleck-L2700-219cpds-manual.csv-3
"423",194,4,S3942@Selleck-L2700-219cpds-manual.csv-4
"424",194,5,S3942@Selleck-L2700-219cpds-manual.csv-5
"425",194,6,S3942@Selleck-L2700-219cpds-manual.csv-6
"426",195,1,T2990@Targetmol-L2300-640cpds-manual.csv-1
"427",195,2,T2990@Targetmol-L2300-640cpds-manual.csv-2
"428",196,1,T2983@Targetmol-L2300-640cpds-manual.csv-1
"429",197,1,T2979@Targetmol-L2300-640cpds-manual.csv-1
"430",198,1,T2924@Targetmol-L2300-640cpds-manual.csv-1
"431",198,2,T2924@Targetmol-L2300-640cpds-manual.csv-2
"432",198,3,T2924@Targetmol-L2300-640cpds-manual.csv-3
"433",199,1,T2922@Targetmol-L2300-640cpds-manual.csv-1
"434",199,3,T2922@Targetmol-L2300-640cpds-manual.csv-3
"435",200,1,T2917@Targetmol-L2300-640cpds-manual.csv-1
"436",200,4,T2917@Targetmol-L2300-640cpds-manual.csv-4
"437",200,5,T2917@Targetmol-L2300-640cpds-manual.csv-5
"438",200,6,T2917@Targetmol-L2300-640cpds-manual.csv-6
"439",201,1,T2893@Targetmol-L2300-640cpds-manual.csv-1
"440",201,2,T2893@Targetmol-L2300-640cpds-manual.csv-2
"441",202,1,S7071@Selleck-L2700-219cpds-manual.csv-1
"442",202,2,S7071@Selleck-L2700-219cpds-manual.csv-2
"443",202,3,S7071@Selleck-L2700-219cpds-manual.csv-3
"444",202,4,S7071@Selleck-L2700-219cpds-manual.csv-4
"445",202,5,S7071@Selleck-L2700-219cpds-manual.csv-5
"446",202,6,S7071@Selleck-L2700-219cpds-manual.csv-6
"447",202,7,S7071@Selleck-L2700-219cpds-manual.csv-7
"448",202,8,S7071@Selleck-L2700-219cpds-manual.csv-8
"449",202,9,S7071@Selleck-L2700-219cpds-manual.csv-9
"450",202,10,S7071@Selleck-L2700-219cpds-manual.csv-10
"451",202,11,S7071@Selleck-L2700-219cpds-manual.csv-11
"452",202,12,S7071@Selleck-L2700-219cpds-manual.csv-12
"453",203,1,T2845@Targetmol-L2300-640cpds-manual.csv-1
"454",204,1,T2807@Targetmol-L2300-640cpds-manual.csv-1
"455",205,1,T2749@Targetmol-L2300-640cpds-manual.csv-1
"456",206,1,S2405@Selleck-L2700-219cpds-manual.csv-1
"457",206,2,S2405@Selleck-L2700-219cpds-manual.csv-2
"458",206,3,S2405@Selleck-L2700-219cpds-manual.csv-3
"459",206,4,S2405@Selleck-L2700-219cpds-manual.csv-4
"460",206,5,S2405@Selleck-L2700-219cpds-manual.csv-5
"461",206,6,S2405@Selleck-L2700-219cpds-manual.csv-6
"462",206,7,S2405@Selleck-L2700-219cpds-manual.csv-7
"463",206,8,S2405@Selleck-L2700-219cpds-manual.csv-8
"464",206,9,S2405@Selleck-L2700-219cpds-manual.csv-9
"465",206,10,S2405@Selleck-L2700-219cpds-manual.csv-10
"466",207,1,S3807@Selleck-L2700-219cpds-manual.csv-1
"467",207,2,S3807@Selleck-L2700-219cpds-manual.csv-2
"468",207,5,S3807@Selleck-L2700-219cpds-manual.csv-5
"469",207,6,S3807@Selleck-L2700-219cpds-manual.csv-6
"470",207,7,S3807@Selleck-L2700-219cpds-manual.csv-7
"471",207,9,S3807@Selleck-L2700-219cpds-manual.csv-9
"472",208,1,T2711@Targetmol-L2300-640cpds-manual.csv-1
"473",209,1,T2687@Targetmol-L2300-640cpds-manual.csv-1
"474",209,2,T2687@Targetmol-L2300-640cpds-manual.csv-2
"475",209,3,T2687@Targetmol-L2300-640cpds-manual.csv-3
"476",209,4,T2687@Targetmol-L2300-640cpds-manual.csv-4
"477",209,5,T2687@Targetmol-L2300-640cpds-manual.csv-5
"478",210,1,T2686L@Targetmol-L2300-640cpds-manual.csv-1
"479",210,2,T2686L@Targetmol-L2300-640cpds-manual.csv-2
"480",211,1,T2686@Targetmol-L2300-640cpds-manual.csv-1
"481",211,2,T2686@Targetmol-L2300-640cpds-manual.csv-2
"482",211,3,T2686@Targetmol-L2300-640cpds-manual.csv-3
"483",212,1,T2673@Targetmol-L2300-640cpds-manual.csv-1
"484",213,1,T2663@Targetmol-L2300-640cpds-manual.csv-1
"485",213,2,T2663@Targetmol-L2300-640cpds-manual.csv-2
"486",214,1,T2604@Targetmol-L2300-640cpds-manual.csv-1
"487",215,1,T2595@Targetmol-L2300-640cpds-manual.csv-1
"488",216,1,T2588@Targetmol-L2300-640cpds-manual.csv-1
"489",217,1,T2530@Targetmol-L2300-640cpds-manual.csv-1
"490",217,2,T2530@Targetmol-L2300-640cpds-manual.csv-2
"491",218,1,T2523@Targetmol-L2300-640cpds-manual.csv-1
"492",219,1,T2498@Targetmol-L2300-640cpds-manual.csv-1
"493",220,1,T2451@Targetmol-L2300-640cpds-manual.csv-1
"494",221,1,T2439@Targetmol-L2300-640cpds-manual.csv-1
"495",222,1,T2437@Targetmol-L2300-640cpds-manual.csv-1
"496",223,1,T2422@Targetmol-L2300-640cpds-manual.csv-1
"497",224,1,T2405@Targetmol-L2300-640cpds-manual.csv-1
"498",224,2,T2405@Targetmol-L2300-640cpds-manual.csv-2
"499",224,3,T2405@Targetmol-L2300-640cpds-manual.csv-3
"500",224,4,T2405@Targetmol-L2300-640cpds-manual.csv-4
"501",224,5,T2405@Targetmol-L2300-640cpds-manual.csv-5
"502",224,6,T2405@Targetmol-L2300-640cpds-manual.csv-6
"503",225,2,T2342@Targetmol-L2300-640cpds-manual.csv-2
"504",226,1,T2298@Targetmol-L2300-640cpds-manual.csv-1
"505",226,2,T2298@Targetmol-L2300-640cpds-manual.csv-2
"506",227,1,T2285@Targetmol-L2300-640cpds-manual.csv-1
"507",228,1,T2280@Targetmol-L2300-640cpds-manual.csv-1
"508",229,1,T2238@Targetmol-L2300-640cpds-manual.csv-1
"509",230,1,T2196@Targetmol-L2300-640cpds-manual.csv-1
"510",230,2,T2196@Targetmol-L2300-640cpds-manual.csv-2
"511",231,1,T2192@Targetmol-L2300-640cpds-manual.csv-1
"512",231,2,T2192@Targetmol-L2300-640cpds-manual.csv-2
"513",232,1,T2191@Targetmol-L2300-640cpds-manual.csv-1
"514",233,1,T2170@Targetmol-L2300-640cpds-manual.csv-1
"515",233,2,T2170@Targetmol-L2300-640cpds-manual.csv-2
"516",233,3,T2170@Targetmol-L2300-640cpds-manual.csv-3
"517",233,4,T2170@Targetmol-L2300-640cpds-manual.csv-4
"518",234,1,T2163@Targetmol-L2300-640cpds-manual.csv-1
"519",235,1,T2131@Targetmol-L2300-640cpds-manual.csv-1
"520",235,2,T2131@Targetmol-L2300-640cpds-manual.csv-2
"521",235,3,T2131@Targetmol-L2300-640cpds-manual.csv-3
"522",235,4,T2131@Targetmol-L2300-640cpds-manual.csv-4
"523",236,1,T2089@Targetmol-L2300-640cpds-manual.csv-1
"524",237,1,T2087@Targetmol-L2300-640cpds-manual.csv-1
"525",237,2,T2087@Targetmol-L2300-640cpds-manual.csv-2
"526",237,3,T2087@Targetmol-L2300-640cpds-manual.csv-3
"527",238,1,T2049@Targetmol-L2300-640cpds-manual.csv-1
"528",239,1,T2040@Targetmol-L2300-640cpds-manual.csv-1
"529",239,2,T2040@Targetmol-L2300-640cpds-manual.csv-2
"530",239,3,T2040@Targetmol-L2300-640cpds-manual.csv-3
"531",240,1,T2024@Targetmol-L2300-640cpds-manual.csv-1
"532",241,1,T2019@Targetmol-L2300-640cpds-manual.csv-1
"533",242,1,T1946@Targetmol-L2300-640cpds-manual.csv-1
"534",243,1,T1940@Targetmol-L2300-640cpds-manual.csv-1
"535",244,1,T1915@Targetmol-L2300-640cpds-manual.csv-1
"536",245,1,T1897@Targetmol-L2300-640cpds-manual.csv-1
"537",246,1,T1884@Targetmol-L2300-640cpds-manual.csv-1
"538",247,1,T1860@Targetmol-L2300-640cpds-manual.csv-2
"539",248,1,T1814@Targetmol-L2300-640cpds-manual.csv-1
"540",249,1,T1805@Targetmol-L2300-640cpds-manual.csv-1
"541",250,1,T1781@Targetmol-L2300-640cpds-manual.csv-1
"542",251,1,T1768@Targetmol-L2300-640cpds-manual.csv-1
"543",252,2,T1756@Targetmol-L2300-640cpds-manual.csv-2
"544",252,4,T1756@Targetmol-L2300-640cpds-manual.csv-4
"545",252,6,T1756@Targetmol-L2300-640cpds-manual.csv-6
"546",252,7,T1756@Targetmol-L2300-640cpds-manual.csv-7
"547",252,8,T1756@Targetmol-L2300-640cpds-manual.csv-8
"548",253,1,T1752@Targetmol-L2300-640cpds-manual.csv-1
"549",254,1,T1751@Targetmol-L2300-640cpds-manual.csv-1
"550",254,2,T1751@Targetmol-L2300-640cpds-manual.csv-2
"551",254,3,T1751@Targetmol-L2300-640cpds-manual.csv-3
"552",254,4,T1751@Targetmol-L2300-640cpds-manual.csv-4
"553",255,1,T1734@Targetmol-L2300-640cpds-manual.csv-1
"554",255,2,T1734@Targetmol-L2300-640cpds-manual.csv-2
"555",255,3,T1734@Targetmol-L2300-640cpds-manual.csv-3
"556",256,1,S2489@Selleck-L2700-219cpds-manual.csv-1
"557",256,2,S2489@Selleck-L2700-219cpds-manual.csv-2
"558",256,4,S2489@Selleck-L2700-219cpds-manual.csv-4
"559",257,1,T1673@Targetmol-L2300-640cpds-manual.csv-1
"560",258,1,T1657@Targetmol-L2300-640cpds-manual.csv-1
"561",259,1,T1651@Targetmol-L2300-640cpds-manual.csv-1
"562",259,2,T1651@Targetmol-L2300-640cpds-manual.csv-2
"563",259,3,T1651@Targetmol-L2300-640cpds-manual.csv-3
"564",259,4,T1651@Targetmol-L2300-640cpds-manual.csv-4
"565",260,1,T1650@Targetmol-L2300-640cpds-manual.csv-1
"566",260,2,T1650@Targetmol-L2300-640cpds-manual.csv-2
"567",261,1,T1641@Targetmol-L2300-640cpds-manual.csv-1
"568",262,1,T16339@Targetmol-L2300-640cpds-manual.csv-1
"569",263,1,T1622@Targetmol-L2300-640cpds-manual.csv-1
"570",263,2,T1622@Targetmol-L2300-640cpds-manual.csv-2
"571",263,3,T1622@Targetmol-L2300-640cpds-manual.csv-3
"572",263,4,T1622@Targetmol-L2300-640cpds-manual.csv-4
"573",263,5,T1622@Targetmol-L2300-640cpds-manual.csv-5
"574",263,6,T1622@Targetmol-L2300-640cpds-manual.csv-6
"575",263,7,T1622@Targetmol-L2300-640cpds-manual.csv-7
"576",263,8,T1622@Targetmol-L2300-640cpds-manual.csv-8
"577",264,1,T16110@Targetmol-L2300-640cpds-manual.csv-1
"578",264,3,T16110@Targetmol-L2300-640cpds-manual.csv-3
"579",264,5,T16110@Targetmol-L2300-640cpds-manual.csv-5
"580",264,6,T16110@Targetmol-L2300-640cpds-manual.csv-6
"581",265,1,T1603@Targetmol-L2300-640cpds-manual.csv-1
"582",265,2,T1603@Targetmol-L2300-640cpds-manual.csv-2
"583",266,1,T1597@Targetmol-L2300-640cpds-manual.csv-1
"584",266,2,T1597@Targetmol-L2300-640cpds-manual.csv-2
"585",267,1,T1593@Targetmol-L2300-640cpds-manual.csv-1
"586",268,1,T1585@Targetmol-L2300-640cpds-manual.csv-1
"587",268,2,T1585@Targetmol-L2300-640cpds-manual.csv-2
"588",269,1,T15758@Targetmol-L2300-640cpds-manual.csv-1
"589",269,2,T15758@Targetmol-L2300-640cpds-manual.csv-2
"590",269,3,T15758@Targetmol-L2300-640cpds-manual.csv-3
"591",270,1,T1555@Targetmol-L2300-640cpds-manual.csv-1
"592",271,1,T15423@Targetmol-L2300-640cpds-manual.csv-1
"593",272,1,T1530@Targetmol-L2300-640cpds-manual.csv-1
"594",273,1,T1527@Targetmol-L2300-640cpds-manual.csv-1
"595",273,2,T1527@Targetmol-L2300-640cpds-manual.csv-2
"596",274,1,T1510@Targetmol-L2300-640cpds-manual.csv-1
"597",275,1,T1498@Targetmol-L2300-640cpds-manual.csv-1
"598",275,2,T1498@Targetmol-L2300-640cpds-manual.csv-2
"599",276,1,T14844@Targetmol-L2300-640cpds-manual.csv-1
"600",276,2,T14844@Targetmol-L2300-640cpds-manual.csv-2
"601",277,1,T1482@Targetmol-L2300-640cpds-manual.csv-1
"602",278,1,T1479@Targetmol-L2300-640cpds-manual.csv-1
"603",279,1,T1453@Targetmol-L2300-640cpds-manual.csv-1
"604",279,2,T1453@Targetmol-L2300-640cpds-manual.csv-2
"605",280,1,T1449@Targetmol-L2300-640cpds-manual.csv-1
"606",280,2,T1449@Targetmol-L2300-640cpds-manual.csv-2
"607",281,1,T1443@Targetmol-L2300-640cpds-manual.csv-1
"608",282,1,T1435@Targetmol-L2300-640cpds-manual.csv-1
"609",282,2,T1435@Targetmol-L2300-640cpds-manual.csv-2
"610",283,1,T1422@Targetmol-L2300-640cpds-manual.csv-1
"611",283,2,T1422@Targetmol-L2300-640cpds-manual.csv-2
"612",284,1,T1413@Targetmol-L2300-640cpds-manual.csv-1
"613",285,1,T1401@Targetmol-L2300-640cpds-manual.csv-1
"614",285,2,T1401@Targetmol-L2300-640cpds-manual.csv-2
"615",286,1,T1396@Targetmol-L2300-640cpds-manual.csv-1
"616",287,1,T1394@Targetmol-L2300-640cpds-manual.csv-1
"617",287,2,T1394@Targetmol-L2300-640cpds-manual.csv-2
"618",288,1,T1389@Targetmol-L2300-640cpds-manual.csv-1
"619",288,2,T1389@Targetmol-L2300-640cpds-manual.csv-2
"620",289,1,S4235@Selleck-L2700-219cpds-manual.csv-1
"621",289,2,S4235@Selleck-L2700-219cpds-manual.csv-2
"622",290,1,T1384@Targetmol-L2300-640cpds-manual.csv-1
"623",291,1,T1352@Targetmol-L2300-640cpds-manual.csv-1
"624",291,2,T1352@Targetmol-L2300-640cpds-manual.csv-2
"625",292,1,S4648@Selleck-L2700-219cpds-manual.csv-1
"626",292,2,S4648@Selleck-L2700-219cpds-manual.csv-2
"627",292,6,S4648@Selleck-L2700-219cpds-manual.csv-6
"628",292,8,S4648@Selleck-L2700-219cpds-manual.csv-8
"629",292,11,S4648@Selleck-L2700-219cpds-manual.csv-11
"630",292,17,S4648@Selleck-L2700-219cpds-manual.csv-17
"631",292,18,S4648@Selleck-L2700-219cpds-manual.csv-18
"632",293,1,T1333@Targetmol-L2300-640cpds-manual.csv-1
"633",293,2,T1333@Targetmol-L2300-640cpds-manual.csv-2
"634",294,1,T13320L@Targetmol-L2300-640cpds-manual.csv-1
"635",294,2,T13320L@Targetmol-L2300-640cpds-manual.csv-2
"636",295,1,T1332@Targetmol-L2300-640cpds-manual.csv-1
"637",295,2,T1332@Targetmol-L2300-640cpds-manual.csv-2
"638",295,3,T1332@Targetmol-L2300-640cpds-manual.csv-3
"639",295,4,T1332@Targetmol-L2300-640cpds-manual.csv-4
"640",296,1,T1327@Targetmol-L2300-640cpds-manual.csv-1
"641",297,1,T1321@Targetmol-L2300-640cpds-manual.csv-1
"642",298,1,T1320@Targetmol-L2300-640cpds-manual.csv-1
"643",298,2,T1320@Targetmol-L2300-640cpds-manual.csv-2
"644",299,1,T1300@Targetmol-L2300-640cpds-manual.csv-1
"645",300,1,T12568@Targetmol-L2300-640cpds-manual.csv-1
"646",301,1,T1240@Targetmol-L2300-640cpds-manual.csv-1
"647",302,1,T1234@Targetmol-L2300-640cpds-manual.csv-1
"648",302,2,T1234@Targetmol-L2300-640cpds-manual.csv-2
"649",303,1,T1222@Targetmol-L2300-640cpds-manual.csv-1
"650",303,2,T1222@Targetmol-L2300-640cpds-manual.csv-2
"651",303,3,T1222@Targetmol-L2300-640cpds-manual.csv-3
"652",304,3,T1204@Targetmol-L2300-640cpds-manual.csv-3
"653",305,1,T1198@Targetmol-L2300-640cpds-manual.csv-1
"654",305,2,T1198@Targetmol-L2300-640cpds-manual.csv-2
"655",306,1,T1197@Targetmol-L2300-640cpds-manual.csv-1
"656",306,3,T1197@Targetmol-L2300-640cpds-manual.csv-3
"657",306,4,T1197@Targetmol-L2300-640cpds-manual.csv-4
"658",307,1,T1186@Targetmol-L2300-640cpds-manual.csv-1
"659",307,2,T1186@Targetmol-L2300-640cpds-manual.csv-2
"660",307,3,T1186@Targetmol-L2300-640cpds-manual.csv-3
"661",307,5,T1186@Targetmol-L2300-640cpds-manual.csv-5
"662",307,6,T1186@Targetmol-L2300-640cpds-manual.csv-6
"663",307,7,T1186@Targetmol-L2300-640cpds-manual.csv-7
"664",308,1,T1146@Targetmol-L2300-640cpds-manual.csv-1
"665",309,1,T1144@Targetmol-L2300-640cpds-manual.csv-1
"666",309,2,T1144@Targetmol-L2300-640cpds-manual.csv-2
"667",310,1,T11394@Targetmol-L2300-640cpds-manual.csv-1
"668",310,2,T11394@Targetmol-L2300-640cpds-manual.csv-2
"669",311,1,T1128@Targetmol-L2300-640cpds-manual.csv-1
"670",311,2,T1128@Targetmol-L2300-640cpds-manual.csv-2
"671",312,1,T11277@Targetmol-L2300-640cpds-manual.csv-1
"672",312,2,T11277@Targetmol-L2300-640cpds-manual.csv-2
"673",313,1,S8279@Selleck-L2700-219cpds-manual.csv-1
"674",313,2,S8279@Selleck-L2700-219cpds-manual.csv-2
"675",313,3,S8279@Selleck-L2700-219cpds-manual.csv-3
"676",313,4,S8279@Selleck-L2700-219cpds-manual.csv-4
"677",313,5,S8279@Selleck-L2700-219cpds-manual.csv-5
"678",313,6,S8279@Selleck-L2700-219cpds-manual.csv-6
"679",314,1,T1062@Targetmol-L2300-640cpds-manual.csv-1
"680",315,1,T1091@Targetmol-L2300-640cpds-manual.csv-1
"681",315,2,T1091@Targetmol-L2300-640cpds-manual.csv-2
"682",316,1,T1090@Targetmol-L2300-640cpds-manual.csv-1
"683",316,2,T1090@Targetmol-L2300-640cpds-manual.csv-2
"684",316,3,T1090@Targetmol-L2300-640cpds-manual.csv-3
"685",317,1,S1329@Selleck-L2700-219cpds-manual.csv-1
"686",317,2,S1329@Selleck-L2700-219cpds-manual.csv-2
"687",317,3,S1329@Selleck-L2700-219cpds-manual.csv-3
"688",317,4,S1329@Selleck-L2700-219cpds-manual.csv-4
"689",318,1,S1426@Selleck-L2700-219cpds-manual.csv-1
"690",319,4,T1066@Targetmol-L2300-640cpds-manual.csv-4
"691",320,1,T1054@Targetmol-L2300-640cpds-manual.csv-1
"692",320,2,T1054@Targetmol-L2300-640cpds-manual.csv-2
"693",321,1,T1049L@Targetmol-L2300-640cpds-manual.csv-1
"694",321,2,T1049L@Targetmol-L2300-640cpds-manual.csv-2
"695",321,3,T1049L@Targetmol-L2300-640cpds-manual.csv-3
"696",322,1,S1709@Selleck-L2700-219cpds-manual.csv-1
"697",322,2,S1709@Selleck-L2700-219cpds-manual.csv-2
"698",322,3,S1709@Selleck-L2700-219cpds-manual.csv-3
"699",322,4,S1709@Selleck-L2700-219cpds-manual.csv-4
"700",323,1,T1046@Targetmol-L2300-640cpds-manual.csv-1
"701",323,2,T1046@Targetmol-L2300-640cpds-manual.csv-2
"702",324,1,T0674@Targetmol-L2300-640cpds-manual.csv-1
"703",324,2,T0674@Targetmol-L2300-640cpds-manual.csv-2
"704",324,3,T0674@Targetmol-L2300-640cpds-manual.csv-3
"705",324,4,T0674@Targetmol-L2300-640cpds-manual.csv-4
"706",325,1,T1010@Targetmol-L2300-640cpds-manual.csv-1
"707",325,2,T1010@Targetmol-L2300-640cpds-manual.csv-2
"708",325,3,T1010@Targetmol-L2300-640cpds-manual.csv-3
"709",326,1,T0999@Targetmol-L2300-640cpds-manual.csv-1
"710",326,2,T0999@Targetmol-L2300-640cpds-manual.csv-2
"711",327,1,T0958@Targetmol-L2300-640cpds-manual.csv-1
"712",328,1,T0957@Targetmol-L2300-640cpds-manual.csv-1
"713",328,2,T0957@Targetmol-L2300-640cpds-manual.csv-2
"714",329,1,T0954@Targetmol-L2300-640cpds-manual.csv-1
"715",329,2,T0954@Targetmol-L2300-640cpds-manual.csv-2
"716",330,1,T0948L@Targetmol-L2300-640cpds-manual.csv-1
"717",331,1,T0946@Targetmol-L2300-640cpds-manual.csv-1
"718",331,2,T0946@Targetmol-L2300-640cpds-manual.csv-2
"719",331,3,T0946@Targetmol-L2300-640cpds-manual.csv-3
"720",331,4,T0946@Targetmol-L2300-640cpds-manual.csv-4
"721",331,5,T0946@Targetmol-L2300-640cpds-manual.csv-5
"722",331,6,T0946@Targetmol-L2300-640cpds-manual.csv-6
"723",332,1,T0943@Targetmol-L2300-640cpds-manual.csv-1
"724",333,1,T0939@Targetmol-L2300-640cpds-manual.csv-1
"725",333,2,T0939@Targetmol-L2300-640cpds-manual.csv-2
"726",334,1,T0924@Targetmol-L2300-640cpds-manual.csv-1
"727",335,1,T0916@Targetmol-L2300-640cpds-manual.csv-1
"728",336,1,T0883@Targetmol-L2300-640cpds-manual.csv-1
"729",337,1,T0859@Targetmol-L2300-640cpds-manual.csv-1
"730",338,1,T0858@Targetmol-L2300-640cpds-manual.csv-1
"731",339,1,T0843@Targetmol-L2300-640cpds-manual.csv-1
"732",339,2,T0843@Targetmol-L2300-640cpds-manual.csv-2
"733",340,1,T0837@Targetmol-L2300-640cpds-manual.csv-1
"734",341,1,T0816@Targetmol-L2300-640cpds-manual.csv-1
"735",342,1,T0802@Targetmol-L2300-640cpds-manual.csv-1
"736",342,2,T0802@Targetmol-L2300-640cpds-manual.csv-2
"737",343,1,T0784@Targetmol-L2300-640cpds-manual.csv-1
"738",344,1,T0757@Targetmol-L2300-640cpds-manual.csv-1
"739",344,2,T0757@Targetmol-L2300-640cpds-manual.csv-2
"740",344,3,T0757@Targetmol-L2300-640cpds-manual.csv-3
"741",344,4,T0757@Targetmol-L2300-640cpds-manual.csv-4
"742",345,1,T0728@Targetmol-L2300-640cpds-manual.csv-1
"743",345,2,T0728@Targetmol-L2300-640cpds-manual.csv-2
"744",346,1,T0725@Targetmol-L2300-640cpds-manual.csv-1
"745",346,2,T0725@Targetmol-L2300-640cpds-manual.csv-2
"746",346,3,T0725@Targetmol-L2300-640cpds-manual.csv-3
"747",347,1,T0723@Targetmol-L2300-640cpds-manual.csv-1
"748",347,2,T0723@Targetmol-L2300-640cpds-manual.csv-2
"749",347,3,T0723@Targetmol-L2300-640cpds-manual.csv-3
"750",347,4,T0723@Targetmol-L2300-640cpds-manual.csv-4
"751",348,1,T0715@Targetmol-L2300-640cpds-manual.csv-1
"752",348,2,T0715@Targetmol-L2300-640cpds-manual.csv-2
"753",349,1,T0710@Targetmol-L2300-640cpds-manual.csv-1
"754",349,2,T0710@Targetmol-L2300-640cpds-manual.csv-2
"755",350,1,T0697@Targetmol-L2300-640cpds-manual.csv-1
"756",350,2,T0697@Targetmol-L2300-640cpds-manual.csv-2
"757",351,1,T0693@Targetmol-L2300-640cpds-manual.csv-1
"758",351,2,T0693@Targetmol-L2300-640cpds-manual.csv-2
"759",352,1,T0680@Targetmol-L2300-640cpds-manual.csv-1
"760",352,2,T0680@Targetmol-L2300-640cpds-manual.csv-2
"761",353,1,T0678@Targetmol-L2300-640cpds-manual.csv-1
"762",354,1,S1438@Selleck-L2700-219cpds-manual.csv-1
"763",354,2,S1438@Selleck-L2700-219cpds-manual.csv-2
"764",354,3,S1438@Selleck-L2700-219cpds-manual.csv-3
"765",354,4,S1438@Selleck-L2700-219cpds-manual.csv-4
"766",354,5,S1438@Selleck-L2700-219cpds-manual.csv-5
"767",354,6,S1438@Selleck-L2700-219cpds-manual.csv-6
"768",354,7,S1438@Selleck-L2700-219cpds-manual.csv-7
"769",354,8,S1438@Selleck-L2700-219cpds-manual.csv-8
"770",354,9,S1438@Selleck-L2700-219cpds-manual.csv-9
"771",354,10,S1438@Selleck-L2700-219cpds-manual.csv-10
"772",354,11,S1438@Selleck-L2700-219cpds-manual.csv-11
"773",354,12,S1438@Selleck-L2700-219cpds-manual.csv-12
"774",354,13,S1438@Selleck-L2700-219cpds-manual.csv-13
"775",354,14,S1438@Selleck-L2700-219cpds-manual.csv-14
"776",354,15,S1438@Selleck-L2700-219cpds-manual.csv-15
"777",354,16,S1438@Selleck-L2700-219cpds-manual.csv-16
"778",354,17,S1438@Selleck-L2700-219cpds-manual.csv-17
"779",354,18,S1438@Selleck-L2700-219cpds-manual.csv-18
"780",354,19,S1438@Selleck-L2700-219cpds-manual.csv-19
"781",354,20,S1438@Selleck-L2700-219cpds-manual.csv-20
"782",355,1,T0647@Targetmol-L2300-640cpds-manual.csv-1
"783",356,1,T0556@Targetmol-L2300-640cpds-manual.csv-1
"784",357,1,T0511@Targetmol-L2300-640cpds-manual.csv-1
"785",357,2,T0511@Targetmol-L2300-640cpds-manual.csv-2
"786",357,3,T0511@Targetmol-L2300-640cpds-manual.csv-3
"787",357,4,T0511@Targetmol-L2300-640cpds-manual.csv-4
"788",358,1,T0508@Targetmol-L2300-640cpds-manual.csv-1
"789",359,2,T0504@Targetmol-L2300-640cpds-manual.csv-2
"790",359,3,T0504@Targetmol-L2300-640cpds-manual.csv-3
"791",359,6,T0504@Targetmol-L2300-640cpds-manual.csv-6
"792",359,7,T0504@Targetmol-L2300-640cpds-manual.csv-7
"793",360,1,T0490@Targetmol-L2300-640cpds-manual.csv-1
"794",360,2,T0490@Targetmol-L2300-640cpds-manual.csv-2
"795",361,1,T0483@Targetmol-L2300-640cpds-manual.csv-1
"796",361,2,T0483@Targetmol-L2300-640cpds-manual.csv-2
"797",361,3,T0483@Targetmol-L2300-640cpds-manual.csv-3
"798",361,4,T0483@Targetmol-L2300-640cpds-manual.csv-4
"799",362,1,T0480@Targetmol-L2300-640cpds-manual.csv-1
"800",363,1,T0479@Targetmol-L2300-640cpds-manual.csv-1
"801",364,1,T0470@Targetmol-L2300-640cpds-manual.csv-1
"802",364,2,T0470@Targetmol-L2300-640cpds-manual.csv-2
"803",364,3,T0470@Targetmol-L2300-640cpds-manual.csv-3
"804",364,4,T0470@Targetmol-L2300-640cpds-manual.csv-4
"805",364,5,T0470@Targetmol-L2300-640cpds-manual.csv-5
"806",364,6,T0470@Targetmol-L2300-640cpds-manual.csv-6
"807",365,1,T0460@Targetmol-L2300-640cpds-manual.csv-1
"808",365,2,T0460@Targetmol-L2300-640cpds-manual.csv-2
"809",366,1,T0457@Targetmol-L2300-640cpds-manual.csv-1
"810",367,1,T0451@Targetmol-L2300-640cpds-manual.csv-1
"811",368,1,T0450@Targetmol-L2300-640cpds-manual.csv-1
"812",368,2,T0450@Targetmol-L2300-640cpds-manual.csv-2
"813",369,4,T0447@Targetmol-L2300-640cpds-manual.csv-4
"814",370,1,T0440@Targetmol-L2300-640cpds-manual.csv-1
"815",371,1,T0435@Targetmol-L2300-640cpds-manual.csv-1
"816",372,1,T0429@Targetmol-L2300-640cpds-manual.csv-1
"817",372,2,T0429@Targetmol-L2300-640cpds-manual.csv-2
"818",372,3,T0429@Targetmol-L2300-640cpds-manual.csv-3
"819",372,4,T0429@Targetmol-L2300-640cpds-manual.csv-4
"820",373,1,T0426@Targetmol-L2300-640cpds-manual.csv-1
"821",374,1,T0411@Targetmol-L2300-640cpds-manual.csv-1
"822",375,1,T0399@Targetmol-L2300-640cpds-manual.csv-1
"823",375,2,T0399@Targetmol-L2300-640cpds-manual.csv-2
"824",376,1,T0378@Targetmol-L2300-640cpds-manual.csv-1
"825",376,2,T0378@Targetmol-L2300-640cpds-manual.csv-2
"826",377,1,T0365@Targetmol-L2300-640cpds-manual.csv-1
